Date,Open,High,Low,Close,Adj Close,Volume
2023-07-21,86.849998,87.500000,86.230003,86.500000,83.328384,55246
2023-07-24,86.500000,86.949997,85.879997,86.260002,83.097183,75321
2023-07-25,86.250000,86.699997,85.900002,86.029999,82.875610,57547
2023-07-26,86.070000,86.260002,85.180000,85.500000,82.365059,64027
2023-07-27,85.599998,85.930000,85.250000,85.599998,82.461380,40282
2023-07-28,85.599998,86.500000,85.599998,85.879997,82.731117,50461
2023-07-31,86.000000,87.370003,85.879997,86.760002,83.578857,59042
2023-08-01,86.760002,87.150002,86.370003,86.750000,83.569221,54103
2023-08-02,86.750000,87.199997,86.300003,86.919998,83.732979,49429
2023-08-03,87.019997,87.370003,86.779999,87.180000,83.983452,38446
2023-08-04,87.019997,87.440002,86.800003,87.300003,84.099060,42599
2023-08-07,87.330002,88.000000,86.309998,86.599998,83.424713,76795
2023-08-08,86.930000,87.570000,86.870003,87.459999,84.253181,41612
2023-08-09,87.300003,87.790001,86.790001,87.300003,84.099060,52852
2023-08-10,86.150002,86.500000,85.050003,85.190002,82.833763,71422
2023-08-11,85.239998,85.360001,83.750000,84.000000,81.676674,78705
2023-08-14,84.160004,84.800003,83.349998,83.400002,81.093269,66799
2023-08-15,83.400002,83.800003,82.120003,82.199997,79.926453,88970
2023-08-16,82.480003,83.739998,82.309998,82.989998,80.694611,59414
2023-08-17,83.169998,83.870003,82.500000,83.000000,80.704330,58026
2023-08-18,83.000000,83.500000,82.500000,82.739998,80.451523,60288
2023-08-21,82.910004,83.269997,82.050003,82.059998,79.790329,67829
2023-08-22,82.169998,82.449997,81.000000,81.430000,79.177757,82985
2023-08-23,81.430000,81.989998,80.160004,80.680000,78.448494,74876
2023-08-24,80.680000,80.790001,80.080002,80.169998,77.952599,70173
2023-08-25,80.510002,82.000000,80.400002,81.889999,79.625031,61989
2023-08-28,81.800003,82.000000,81.400002,81.790001,79.527802,80783
2023-08-29,81.800003,82.300003,81.400002,81.669998,79.411118,64245
2023-08-30,81.680000,82.300003,81.500000,81.599998,79.343056,48746
2023-08-31,81.629997,82.000000,81.400002,81.699997,79.440285,60852
2023-09-01,81.550003,82.879997,81.199997,82.500000,80.218163,56094
2023-09-04,82.500000,82.980003,81.650002,82.500000,80.218163,63133
2023-09-05,82.589996,83.000000,82.239998,82.599998,80.315392,51112
2023-09-06,82.599998,83.389999,82.589996,83.180000,80.879356,48219
2023-09-08,83.349998,84.000000,83.000000,83.970001,81.647507,48100
